Defective embedding notation 3,Bashicu matrix 4,Note
"(1,0)1","(0)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,2,1,0)2(7,6,2,1,0)3(8,7,6)1(9,8,7,6)2(10,9,8,7,6)3(11,*10,9,8,7,6)3(12,7,6)1(13,12,7,6)2(14,13,12,7,6)3(15,*14,13,12,7,6)3","(0)(1,1,1)(1,1)(2,2,1)(2,2)(3,3,1)","这里对应，产生错层(0)(1,1,1)(1,1)(2,2,1)(2,1)(3,2,1)(3,2)(4,3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,2,1,0)2(7,6,2,1,0)3(8,7,6)1(9,8,7,6)2(10,9,8,7,6)3(11,*10,9,8,7,6)3(12,7,6)1(13,12,7,6)2(14,13,12,7,6)3(15,*14,13,12,7,6)3(16,7,6)1(17,16,7,6)2(18,17,16,7,6)3(19,*18,17,16,7,6)3","(0)(1,1,1)(1,1)(2,2,1)(2,2)(3,3,1)(2,2)(3,3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,2,1,0)2(7,6,2,1,0)3(8,7,6)1(9,8,7,6)2(10,9,8,7,6)3(11,*10,9,8,7,6)3(12,8)1","(0)(1,1,1)(1,1)(2,2,1)(2,2)(3,3,1)(3)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,2,1,0)2(7,6,2,1,0)3(8,7,6)1(9,8,7,6)2(10,9,8,7,6)3(11,*10,9,8,7,6)3(12,8,2,1,0)3(13,12,8)1","(0)(1,1,1)(1,1)(2,2,1)(2,2)(3,3,1)(3,1)(4,2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,2,1,0)2(7,6,2,1,0)3(8,7,6)1(9,8,7,6)2(10,9,8,7,6)3(11,*10,9,8,7,6)3(12,8,2,1,0)3(13,12,8)1(14,13,12,8)2(15,14,13,12,8)3(16,*15,14,13,12,8)3","(0)(1,1,1)(1,1)(2,2,1)(2,2)(3,3,1)(3,1)(4,2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,2,1,0)2(7,6,2,1,0)3(8,7,6)1(9,8,7,6)2(10,9,8,7,6)3(11,*10,9,8,7,6)3(12,8,7,6)2","(0)(1,1,1)(1,1)(2,2,1)(2,2)(3,3,1)(3,2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,2,1,0)2(7,6,2,1,0)3(8,7,6)1(9,8,7,6)2(10,9,8,7,6)3(11,*10,9,8,7,6)3(12,8,7,6)2(13,12,8,7,6)3(14,13,12)1(15,14,13,12)2(16,15,14,13,12)3(17,*16,15,14,13,12)3(18,14,13,12)2","(0)(1,1,1)(1,1)(2,2,1)(2,2)(3,3,1)(3,3)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,2,1,0)2(7,6,2,1,0)3(8,*7,6,2,1,0)3","(0)(1,1,1)(1,1,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3)1","(0)(1,1,1)(2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3","(0)(1,1,1)(2,1)","den3似乎拥有hydra的一些部分特性。"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,2,1,0)2(8,7,2,1,0)3(9,8,7)1(10,9,8,7)2(11,10,9,8,7)3(12,*11,10,9,8,7)3","(0)(1,1,1)(2,1)(1,1)(2,2,1)(3,1)(2,1)(3,2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,2,1,0)2(8,7,2,1,0)3(9,8,7)1(10,9,8,7)2(11,10,9,8,7)3(12,*11,10,9,8,7)3(13,10,9,8,7)3","(0)(1,1,1)(2,1)(1,1)(2,2,1)(3,2)","这里(13,10,2,1,0)原本是(2,1)(3,2,1)(4,1)中(4,1)的职位，被(13,10,9,8,7)后就向前推进了。"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,2,1,0)2(8,7,2,1,0)3(9,*8,7,2,1,0)3","(0)(1,1,1)(2,1)(1,1,1)","这里BMS相对Buchholz's OCF有提升效应，也说明了den3的(6,2,1,0)不是简单地被固定在“Ω”。"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,2,1,0)2(8,7,2,1,0)3(9,*8,7,2,1,0)3(10,7,2,1,0)3","(0)(1,1,1)(2,1)(1,1,1)(2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,2,1,0)3","(0)(1,1,1)(2,1)(3,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,3)1","(0)(1,1,1)(2,1)(3,2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,3)1(8,3,2,1,0)3(9,8,3)1","(0)(1,1,1)(2,1)(3,2)(2,1)(3,2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,3)1(8,6,2,1,0)3(9,8,6)1","(0)(1,1,1)(2,1)(3,2)(3,1)(4,2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,3)1(8,6,3)1","(0)(1,1,1)(2,1)(3,2)(3,2)","这里的错层比(0,0)(1,1)(2,2)稍微轻一些，大概是前面几项叠的太多的缘故罢。"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,3)1(8,7,2,1,0)3","(0)(1,1,1)(2,1)(3,2)(4,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,3)1(8,7,6,3)2(9,8,7,6,3)3(10,*9,8,7,6,3)3","(0)(1,1,1)(2,1)(3,2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,3)1(8,7,6,3)2(9,8,7,6,3)3(10,*9,8,7,6,3)3(11,8,7,6,3)3","(0)(1,1,1)(2,1)(3,2,1)(4,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,3)1(8,7,6,3)2(9,8,7,6,3)3(10,*9,8,7,6,3)3(11,8,7,6,3)3(12,11,8)1","(0)(1,1,1)(2,1)(3,2,1)(4,1)(5,2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,6,3)1(8,7,6,3)2(9,8,7,6,3)3(10,*9,8,7,6,3)3(11,8,7,6,3)3(12,11,8)1(13,12,11,8)2(14,13,12,11,8)3(15,*14,13,12,11,8)3(16,13,12,11,8)3","(0)(1,1,1)(2,1)(3,2,1)(4,1)(5,2,1)(6,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3","(0)(1,1,1)(2,1,1)","这里有一个特殊的现象，(4,3,2,1,0)3(5,*4,3,2,1,0)3和(6,3,2,1,0)3(7,*6,3,2,1,0)3看起来结构相似但作用不是完全一样"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,2,1,0)2(9,8,2,1,0)3(10,*9,8,2,1,0)3","(0)(1,1,1)(2,1,1)(1,1,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,2,1,0)2(9,8,2,1,0)3(10,*9,8,2,1,0)3(11,8,2,1,0)3","(0)(1,1,1)(2,1,1)(1,1,1)(2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,2,1,0)2(9,8,2,1,0)3(10,*9,8,2,1,0)3(11,8,2,1,0)3(12,11,8)1","(0)(1,1,1)(2,1,1)(1,1,1)(2,1)(3,2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,2,1,0)2(9,8,2,1,0)3(10,*9,8,2,1,0)3(11,8,2,1,0)3(12,11,8)1(13,12,11,8)2(14,13,12,11,8)3(15,*14,13,12,11,8)3","(0)(1,1,1)(2,1,1)(1,1,1)(2,1)(3,2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,2,1,0)2(9,8,2,1,0)3(10,*9,8,2,1,0)3(11,8,2,1,0)3(12,11,8)1(13,12,11,8)2(14,13,12,11,8)3(15,*14,13,12,11,8)3(16,13,12,11,8)3(17,*16,13,12,11,8)3","(0)(1,1,1)(2,1,1)(1,1,1)(2,1)(3,2,1)(4,2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,2,1,0)2(9,8,2,1,0)3(10,*9,8,2,1,0)3(11,8,2,1,0)3(12,*11,8,2,1,0)3","(0)(1,1,1)(2,1,1)(1,1,1)(2,1,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,3)1","(0)(1,1,1)(2,1,1)(2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,3,2,1,0)3","(0)(1,1,1)(2,1,1)(2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,3,2,1,0)3(9,2,1,0)2(10,9,2,1,0)3(11,*10,9,2,1,0)3","(0)(1,1,1)(2,1,1)(2,1)(1,1,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,3,2,1,0)3(9,2,1,0)2(10,9,2,1,0)3(11,*10,9,2,1,0)3(12,2,1,0)2(13,12,2,1,0)3(14,*13,12,2,1,0)3","(0)(1,1,1)(2,1,1)(2,1)(1,1,1)(1,1,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,3,2,1,0)3(9,2,1,0)2(10,9,2,1,0)3(11,*10,9,2,1,0)3(12,9,2,1,0)3","(0)(1,1,1)(2,1,1)(2,1)(1,1,1)(2,1)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,3,2,1,0)3(9,2,1,0)2(10,9,2,1,0)3(11,*10,9,2,1,0)3(12,9,2,1,0)3(13,12,9)1","(0)(1,1,1)(2,1,1)(2,1)(1,1,1)(2,1)(3,2)"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2,1,0)3(5,*4,3,2,1,0)3(6,3,2,1,0)3(7,*6,3,2,1,0)3(8,3,2,1,0)3(9,2,1,0)2(10,9,2,1,0)3(11,*10,9,2,1,0)3(12,9,2,1,0)3(13,12,9)1(14,13,12,9)2(15,14,13,12,9)3(16,*15,14,13,12,9)3","(0)(1,1,1)(2,1,1)(2,1)(1,1,1)(2,1)(3,2,1)"
