Parented predecessor sequence 4,Main
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,14,4,14,4,4,14","1,2,3,4,5,4,5,2,3,4,5,2,3,4,3,3"
"0,1,1,0,0,5,4,5,5,4,10,4,10,4,14,4,14,4,18","1,2,3,4,5,4,5,2,3,4,5,2,3,4,5"
"0,1,1,0,0,5,4,5,5,4,10,4,10,10","1,2,3,4,5,4,5,2,3,4,5,3"
"0,1,1,0,0,5,4,5,5,4,10,4,10,10,4,15","1,2,3,4,5,4,5,2,3,4,5,4,5"
"0,1,1,0,0,5,4,5,5,5","1,2,3,4,5,4,5,3"
"0,1,1,0,0,5,4,5,5,5,4,4,5","1,2,3,4,5,4,5,3,3"
"0,1,1,0,0,5,4,5,5,5,4,4,5,4,14","1,2,3,4,5,4,5,3,4,5"
"0,1,1,0,0,5,4,5,5,5,4,4,5,5","1,2,3,4,5,4,5,3,4,5,3"
"0,1,1,0,0,5,4,5,5,5,4,4,5,5,5","1,2,3,4,5,4,5,3,4,5,4,5,3"
"0,1,1,0,0,5,4,5,5,5,4,7","1,2,3,4,5,4,5,4"
"0,1,1,0,0,5,4,5,5,5,4,11","1,2,3,4,5,4,5,4,5"
"0,1,1,0,0,5,4,5,5,5,5","1,2,3,4,5,4,5,4,5,3"
"0,1,1,0,0,5,4,7","1,2,3,4,5,5"
"0,1,1,0,0,5,4,7,4,4,10","1,2,3,4,5,5,2,3,4"
"0,1,1,0,0,5,4,7,4,7","1,2,3,4,5,5,2,3,4,3"
"0,1,1,0,0,5,4,7,4,7,4,4,4,13,4,13","1,2,3,4,5,5,2,3,4,3,2,3,4,3"
"0,1,1,0,0,5,4,7,4,7,4,4,7","1,2,3,4,5,5,2,3,4,3,3"
"0,1,1,0,0,5,4,7,4,7,4,9","1,2,3,4,5,5,2,3,4,3,4"
"0,1,1,0,0,5,4,7,4,7,4,9,4,7,4,13","1,2,3,4,5,5,2,3,4,3,4,3,4"
"0,1,1,0,0,5,4,7,4,7,4,9,9","1,2,3,4,5,5,2,3,4,4"
"0,1,1,0,0,5,4,7,4,7,4,11","1,2,3,4,5,5,2,3,4,5"
"0,1,1,0,0,5,4,7,4,7,7","1,2,3,4,5,5,2,3,4,5,3"
"0,1,1,0,0,5,4,7,4,9","1,2,3,4,5,5,2,3,4,5,5"
"0,1,1,0,0,5,5","1,2,3,4,5,5,3"
"0,1,1,0,0,5,5,0,0,9,9","1,2,3,4,5,5,3,1,2,3,4,5,5,3"
"0,1,1,0,1","1,2,3,4,5,5,3,2"
